title,term,definition
Definition:Above (Number),Above,"In the context of numbers, above means greater than.

Note that this applies to:
:the natural numbers ℕ
:the integers ℤ
:the rational numbers ℚ
:the real numbers ℝ

but specifically not the complex numbers ℂ because the complex numbers do not have a usual ordering."
Definition:Above (Solid Geometry),Above,"Let a and b be points in 3-dimensional Euclidean space ℝ^3.

Let P be an arbitrary plane embedded in S be distinguished and defined as horizontal.

Then:
:a is above b
 if and only if :
:the height of a   P is greater than the height of b   P."
Definition:Above (Plane Geometry),Above,"Let a and b be points in the cartesian plane ℝ^2.

Then:
:a is above b
 if and only if :
:the y coordinate of a is greater than the y coordinate of b."
Definition:Action (Physics),Action,"Let B_1 and B_2 be bodies in space.

Let B_1 apply a force 𝐅 on B_2.

The force 𝐅 is known as the action that B_1 applies to B_2."
Definition:Action (Dynamics),Action,"The action for a given segment from point A to point B on the trajectory of a dynamical system is defined by the line integral:

:∑_i ∫_A^B p_i  d q_i

where:
:q_i are the generalized coordinates
:p_i are the generalized momenta."
Definition:Action Applied by System,Action,"The action applied by a system from state 1 to state 2 is defined as the definite integral of the Lagrangian over time from state 1 to state 2:

:S_12 = ∫_t_1^t_2ℒ d t
where:
:S_12 is the action from 1 to 2
:t is time
:ℒ is the Lagrangian."
Definition:Group Action,Action,"Let X be a set.

Let ( G, ∘) be a group whose identity is e.


=== Left Group Action ===
Let X be a set.

Let ( G, ∘) be a group whose identity is e.


A (left) group action is an operation ϕ: G × X → X such that:

:∀( g, x ) ∈ G × X: g * x := ϕ(   )g, x∈ X

in such a way that the group action axioms are satisfied:
 

=== Right Group Action ===
Let X be a set.

Let ( G, ∘) be a group whose identity is e.


A right group action is a mapping ϕ: X × G → X such that:

:∀( x, g ) ∈ X × G : x * g := ϕ(   )x, g∈ X

in such a way that the right group action axioms are satisfied:
 

The group G thus acts on the set X.


=== Transformation Group ===
Let X be a set.

Let ( G, ∘) be a group whose identity is e.


Let G act on X.

Then G can be referred to as the transformation group of X.

=== From Permutation Representation ===
Let G be a group.

Let X be a set.

Let ( Γ(   )X, ∘) be the symmetric group on X.

Let ρ: G →( Γ(   )X, ∘) be a permutation representation.


The group action of G associated to the permutation representation ρ is the group action ϕ: G × X → X defined by:
:ϕ(   )g, x = ρ_g (   )x

where ρ_g : X → X is the permutation representation associated to ρ for g ∈ G by ρ_g (   )x = ϕ(   )g, x."
Definition:Linear Ring Action,Action,"Let R be a ring.

Let M be an abelian group.


=== Left Ring Action ===
Let R be a ring.

Let M be an abelian group.

Let ∘ : R × M → M be a mapping from the cartesian product R × M.


∘ is a left linear ring action of R on M  if and only if  ∘ satisfies the left ring action axioms:
 

=== Right Ring Action ===
Let R be a ring.

Let M be an abelian group.

Let ∘ : M × R → M be a mapping from the cartesian product M × R.


∘ is a right linear ring action of R on M  if and only if  ∘ satisfies the right ring action axioms:
 "
Definition:Acyclic Object,Acyclic,"Let 𝐀 be an abelian category with enough injectives.

Let 𝐁 be an abelian category.

Let F : 𝐀→𝐁 be a left exact functor.

Let X be an object of 𝐀.


Then X is F-acyclic  if and only if  R^i F (   )X = 0 for all positive integers i ∈ℤ_i ≥ 1.

In the above R^i F denotes the i-th right derived functor of F.


Category:Definitions/Homological Algebra"
Definition:Acyclic Resolution,Acyclic,"Let 𝐀 be an abelian category with enough injectives.

Let 𝐁 be an arbitrary abelian category.

Let F : 𝐀→𝐁 be a left-exact functor.

Let X be an object in 𝐀.


An F-acyclic resolution of X is a cochain complex P := ⟨ d^i : I^i → I^i + 1⟩_i ∈ℤ in 𝐀, such that:
:(1):   ∀ i < 0 : I^i = 0
:(2):    I^i is F-acyclic for all i ≥ 0
together with a morphism ε : X → I^0, such that the cochain complex:
:…[r]     0 [r]     0 [r]     X [r]^ε    I^0 [r]^d^0    I^1 [r]^d^1    I^2 [r]^d^2   …
is exact."
