title,term,definition
Definition:Above (Number),Above,"In the context of numbers, above means greater than.

Note that this applies to:
:the natural numbers ℕ
:the integers ℤ
:the rational numbers ℚ
:the real numbers ℝ

but specifically not the complex numbers ℂ because the complex numbers do not have a usual ordering."
Definition:Above (Solid Geometry),Above,"Let a and b be points in 3-dimensional Euclidean space ℝ^3.

Let P be an arbitrary plane embedded in S be distinguished and defined as horizontal.

Then:
:a is above b
 if and only if :
:the height of a   P is greater than the height of b   P."
Definition:Above (Plane Geometry),Above,"Let a and b be points in the cartesian plane ℝ^2.

Then:
:a is above b
 if and only if :
:the y coordinate of a is greater than the y coordinate of b."
Definition:Absolute Number,Absolute,"An absolute number is a number in an expression which has a single value.

It is either expressed using actual figures, in an agreed number system, or by a symbol which is understood to represent that specific number."
Definition:Constant,Absolute,"A constant is a name for an object (usually a number, but the concept has wider applications) which does not change during the context of a logical or mathematical argument.


A constant can be considered as an operator which takes no operands.

A constant can also be considered as a variable whose domain is a singleton."
Definition:Absolute Value,Absolute,"=== Definition 1 ===
Let x ∈ℝ be a real number.


The absolute value of x is denoted | x |, and is defined using the usual ordering on the real numbers as follows:
:| x | =  x     : x > 0 
 0     : x = 0 
 -x     : x < 0

=== Definition 2 ===
Let x ∈ℝ be a real number.

The absolute value of x is denoted | x |, and is defined as:

:| x | = +√(x^2)

where +√(x^2) is the positive square root of x^2."
Definition:Absolute Continuity,Absolute,"=== Real Function ===
Let I ⊆ℝ be a real interval.


A real function f: I →ℝ is said to be absolutely continuous  if and only if  it satisfies the following property:

:For every ϵ > 0 there exists δ > 0 such that the following property holds:

::For every finite set of pairwise disjoint closed real intervals [ a_1  . . ]b_1, …, [ a_n  . . ]b_n⊆ I such that:
:::∑_i  = 1^n | b_i - a_i | < δ
::it holds that:
:::∑_i  = 1^n | f (   )b_i - f (   )a_i| < ϵ

=== Measure ===
Let ( X, x3a3) be a measurable space.

Let μ and ν be measures on ( X, x3a3).


We say that ν is absolutely continuous with respect to μ and write: 

:ν≪μ

 if and only if :

:∀ A ∈x3a3 : μ(   )A = 0 ν(   )A = 0

=== Signed Measure ===
Let ( X, x3a3) be a measurable space.

Let μ be a measure on ( X, x3a3).

Let ν be a signed measure on ( X, x3a3).

Let |ν| be the variation of ν.


We say that ν is absolutely continuous with respect to μ  if and only if :

:|ν| is absolutely continuous with respect to μ.

We write:

:ν≪μ

=== Complex Measure ===
Let ( X, x3a3) be a measurable space.

Let μ be a measure on ( X, x3a3).

Let ν be a complex measure on ( X, x3a3).

Let |ν| be the variation of ν.


We say that ν is absolutely continuous with respect to μ  if and only if :

:|ν| is absolutely continuous with respect to μ.

We write:

:ν≪μ"
Definition:Symmetric Function/Absolute,Absolute,"Let f: ℝ^n →ℝ be a real-valued function.

=== Definition 1 ===
Let f: ℝ^n →ℝ be a real-valued function.


Let f be such that, for every pair ( x_i, x_j ) in ℝ^2:
:f (   )x_1, x_2, …, x_i, …, x_j, …, x_n = f (   )x_1, x_2, …, x_j, …, x_i, …, x_n

Then f is an absolutely symmetric function.

=== Definition 2 ===
Let f: ℝ^n →ℝ be a real-valued function.


Let f be such that, for all 𝐱 := ( x_1, x_2, …, x_n ) ∈ℝ^n:
:f (   )𝐱 = f (   )𝐲
where 𝐲 is a permutation of ( x_1, x_2, …, x_n ).

Then f is an absolutely symmetric function."
Definition:Absolute Galois Group,Absolute,"Let K be a field.


=== Definition 1 ===
Let K be a field.


The absolute Galois group of K is the Galois group Gal( K^sep| K ) of its separable closure.

=== Definition 2 ===
Let K be a field.


The absolute Galois group of K is the automorphism group Aut( K| K ) of its algebraic closure."
Definition:Action (Physics),Action,"Let B_1 and B_2 be bodies in space.

Let B_1 apply a force 𝐅 on B_2.

The force 𝐅 is known as the action that B_1 applies to B_2."
