title,term,definition
Definition:Absolute Number,Absolute,"An absolute number is a number in an expression which has a single value.

It is either expressed using actual figures, in an agreed number system, or by a symbol which is understood to represent that specific number."
Definition:Constant,Absolute,"A constant is a name for an object (usually a number, but the concept has wider applications) which does not change during the context of a logical or mathematical argument.


A constant can be considered as an operator which takes no operands.

A constant can also be considered as a variable whose domain is a singleton."
Definition:Absolute Value,Absolute,"=== Definition 1 ===
Let x ∈ℝ be a real number.


The absolute value of x is denoted | x |, and is defined using the usual ordering on the real numbers as follows:
:| x | =  x     : x > 0 
 0     : x = 0 
 -x     : x < 0

=== Definition 2 ===
Let x ∈ℝ be a real number.

The absolute value of x is denoted | x |, and is defined as:

:| x | = +√(x^2)

where +√(x^2) is the positive square root of x^2."
Definition:Absolute Continuity,Absolute,"=== Real Function ===
Let I ⊆ℝ be a real interval.


A real function f: I →ℝ is said to be absolutely continuous  if and only if  it satisfies the following property:

:For every ϵ > 0 there exists δ > 0 such that the following property holds:

::For every finite set of pairwise disjoint closed real intervals [ a_1  . . ]b_1, …, [ a_n  . . ]b_n⊆ I such that:
:::∑_i  = 1^n | b_i - a_i | < δ
::it holds that:
:::∑_i  = 1^n | f (   )b_i - f (   )a_i| < ϵ

=== Measure ===
Let ( X, x3a3) be a measurable space.

Let μ and ν be measures on ( X, x3a3).


We say that ν is absolutely continuous with respect to μ and write: 

:ν≪μ

 if and only if :

:∀ A ∈x3a3 : μ(   )A = 0 ν(   )A = 0

=== Signed Measure ===
Let ( X, x3a3) be a measurable space.

Let μ be a measure on ( X, x3a3).

Let ν be a signed measure on ( X, x3a3).

Let |ν| be the variation of ν.


We say that ν is absolutely continuous with respect to μ  if and only if :

:|ν| is absolutely continuous with respect to μ.

We write:

:ν≪μ

=== Complex Measure ===
Let ( X, x3a3) be a measurable space.

Let μ be a measure on ( X, x3a3).

Let ν be a complex measure on ( X, x3a3).

Let |ν| be the variation of ν.


We say that ν is absolutely continuous with respect to μ  if and only if :

:|ν| is absolutely continuous with respect to μ.

We write:

:ν≪μ"
Definition:Symmetric Function/Absolute,Absolute,"Let f: ℝ^n →ℝ be a real-valued function.

=== Definition 1 ===
Let f: ℝ^n →ℝ be a real-valued function.


Let f be such that, for every pair ( x_i, x_j ) in ℝ^2:
:f (   )x_1, x_2, …, x_i, …, x_j, …, x_n = f (   )x_1, x_2, …, x_j, …, x_i, …, x_n

Then f is an absolutely symmetric function.

=== Definition 2 ===
Let f: ℝ^n →ℝ be a real-valued function.


Let f be such that, for all 𝐱 := ( x_1, x_2, …, x_n ) ∈ℝ^n:
:f (   )𝐱 = f (   )𝐲
where 𝐲 is a permutation of ( x_1, x_2, …, x_n ).

Then f is an absolutely symmetric function."
Definition:Absolute Galois Group,Absolute,"Let K be a field.


=== Definition 1 ===
Let K be a field.


The absolute Galois group of K is the Galois group Gal( K^sep| K ) of its separable closure.

=== Definition 2 ===
Let K be a field.


The absolute Galois group of K is the automorphism group Aut( K| K ) of its algebraic closure."
Definition:Action (Physics),Action,"Let B_1 and B_2 be bodies in space.

Let B_1 apply a force 𝐅 on B_2.

The force 𝐅 is known as the action that B_1 applies to B_2."
Definition:Action (Dynamics),Action,"The action for a given segment from point A to point B on the trajectory of a dynamical system is defined by the line integral:

:∑_i ∫_A^B p_i  d q_i

where:
:q_i are the generalized coordinates
:p_i are the generalized momenta."
Definition:Action Applied by System,Action,"The action applied by a system from state 1 to state 2 is defined as the definite integral of the Lagrangian over time from state 1 to state 2:

:S_12 = ∫_t_1^t_2ℒ d t
where:
:S_12 is the action from 1 to 2
:t is time
:ℒ is the Lagrangian."
Definition:Group Action,Action,"Let X be a set.

Let ( G, ∘) be a group whose identity is e.


=== Left Group Action ===
Let X be a set.

Let ( G, ∘) be a group whose identity is e.


A (left) group action is an operation ϕ: G × X → X such that:

:∀( g, x ) ∈ G × X: g * x := ϕ(   )g, x∈ X

in such a way that the group action axioms are satisfied:
 

=== Right Group Action ===
Let X be a set.

Let ( G, ∘) be a group whose identity is e.


A right group action is a mapping ϕ: X × G → X such that:

:∀( x, g ) ∈ X × G : x * g := ϕ(   )x, g∈ X

in such a way that the right group action axioms are satisfied:
 

The group G thus acts on the set X.


=== Transformation Group ===
Let X be a set.

Let ( G, ∘) be a group whose identity is e.


Let G act on X.

Then G can be referred to as the transformation group of X.

=== From Permutation Representation ===
Let G be a group.

Let X be a set.

Let ( Γ(   )X, ∘) be the symmetric group on X.

Let ρ: G →( Γ(   )X, ∘) be a permutation representation.


The group action of G associated to the permutation representation ρ is the group action ϕ: G × X → X defined by:
:ϕ(   )g, x = ρ_g (   )x

where ρ_g : X → X is the permutation representation associated to ρ for g ∈ G by ρ_g (   )x = ϕ(   )g, x."
Definition:Linear Ring Action,Action,"Let R be a ring.

Let M be an abelian group.


=== Left Ring Action ===
Let R be a ring.

Let M be an abelian group.

Let ∘ : R × M → M be a mapping from the cartesian product R × M.


∘ is a left linear ring action of R on M  if and only if  ∘ satisfies the left ring action axioms:
 

=== Right Ring Action ===
Let R be a ring.

Let M be an abelian group.

Let ∘ : M × R → M be a mapping from the cartesian product M × R.


∘ is a right linear ring action of R on M  if and only if  ∘ satisfies the right ring action axioms:
 "
Definition:Additive Function (Algebra),Additive Function,"Let f: S → S be a mapping on an algebraic structure ( S, + ).


Then f is an additive function  if and only if  it preserves the addition operation:
:∀ x, y ∈ S: f (   )x + y = f (   )x + f (   )y"
Definition:Additive Function on UFD,Additive Function,"Let R be a unique factorization domain.

Let f : R →ℂ be a complex-valued function.


Then f is additive  if and only if :
:For all coprime x, y ∈ R: f (   )x y = f (   )x + f (   )y


=== Arithmetic Function ===
Let f : ℕ→ℂ be an arithmetic function.


Then f is additive  if and only if :
:m ⊥ n  f (   )m n = f (   )m + f (   )n"
Definition:Completely Additive Function,Additive Function,"Let ( R, +, ×) be a ring.

Let f: R → R be a mapping on R.


Then f is described as completely additive  if and only if :

:∀ m, n ∈ R: f (   )m × n = f (   )m + f (   )n


That is, a completely additive function is one where the value of a product of two numbers equals the sum of the value of each one individually."
Definition:Additive Function on Class of Modules,Additive Function,"Let R be a commutative ring with unity.

Let 𝒞 be a class of R-modules.

Let G be an abelian group.

Let λ : 𝒞→ G be a mapping.


Then λ is called an additive function  if and only if :
:for all M' ', M, M' ∈𝒞:
::0 → M' ' → M → M' → 0 is a short exact sequence
:::λ(   )M' ' - λ(   )M + λ(   )M' = 0"
Definition:Additive Function (Measure Theory),Additive Function,"Let 𝒮 be an algebra of sets.

Let f: 𝒮→R be a function, where R denotes the set of extended real numbers.


Then f is defined to be an additive function  if and only if :

:∀ S, T ∈𝒮: S ∩ T = ∅ f (   )S ∪ T = f (   )S + f (   )T

That is, for any two disjoint elements of 𝒮, f of their union equals the sum of f of the individual elements.


Note from Finite Union of Sets in Additive Function that:

:f (   )⋃_i  = 1^n S_i = ∑_i  = 1^n f (   )S_i

where S_1, S_2, …, S_n is any finite collection of pairwise disjoint elements of 𝒮."
Definition:Countably Additive Function,Additive Function,"Let x3a3 be a σ-algebra.

Let f: x3a3→R be a function, where R denotes the set of extended real numbers.


Then f is defined as countably additive  if and only if :
:f (   )⋃_n ∈ℕ E_n = ∑_n ∈ℕ f (   )E_n

where ⟨ E_n ⟩ is any sequence of pairwise disjoint elements of x3a3.


That is, for any countably infinite set of pairwise disjoint elements of x3a3, f of their union equals the sum of f of the individual elements."
